icao_code,type,latitude,longitude
BIKF,large_airport,63.985001,-22.6056
BIRK,medium_airport,64.128732,-21.93759
BIVM,medium_airport,63.42430114746094,-20.278900146484375
CYHD,medium_airport,49.831699,-92.744202
CYHU,medium_airport,45.517502,-73.416901
CYIB,medium_airport,48.773899,-91.638603
CYJN,medium_airport,45.29439926147461,-73.28109741210938
CYME,medium_airport,48.85689926147461,-67.45330047607422
CYML,medium_airport,47.59749984741211,-70.2238998413086
CYMX,medium_airport,45.679501,-74.038696
CYPN,medium_airport,49.836399,-64.288597
CYQB,large_airport,46.7911,-71.393303
CYQK,medium_airport,49.788299560546875,-94.36309814453125
CYQL,medium_airport,49.6302986145,-112.800003052
CYQW,medium_airport,52.769409,-108.243742
CYRI,medium_airport,47.764400482177734,-69.58470153808594
CYRQ,medium_airport,46.35279846191406,-72.67939758300781
CYUL,large_airport,45.467837,-73.742294
CYVC,medium_airport,55.151401519800004,-105.262001038
CYXK,medium_airport,48.477644,-68.496323
CYXL,medium_airport,50.11389923095703,-91.9052963256836
CYYY,medium_airport,48.60860061645508,-68.20809936523438
CZBM,medium_airport,45.290798,-72.741402
EBAW,medium_airport,51.190667,4.463153
EBBE,medium_airport,50.758598,4.76833
EBBL,medium_airport,51.168301,5.47
EBBR,large_airport,50.901402,4.48444
EBCI,large_airport,50.461963,4.459562
EBCV,medium_airport,50.575802,3.831
EBFN,medium_airport,51.090302,2.65278
EBFS,medium_airport,50.2433013916,4.64583015442
EBKT,medium_airport,50.818878,3.209551
EBLG,medium_airport,50.638574,5.443897
EBOS,large_airport,51.1998,2.874673
EDDE,large_airport,50.978281,10.960713
EDDF,large_airport,50.026706,8.55835
EDDH,large_airport,53.630402,9.98823
EDDK,large_airport,50.865898,7.14274
EDDL,large_airport,51.289501,6.76678
EDDM,large_airport,48.353802,11.7861
EDDN,large_airport,49.498699,11.078056
EDDV,large_airport,52.461102,9.68508
EDDW,large_airport,53.046786,8.78932
EDFE,medium_airport,49.96,8.643043
EDFH,large_airport,49.946353,7.261734
EDFM,medium_airport,49.473057,8.514167
EDFZ,medium_airport,49.967499,8.147222
EDGE,medium_airport,50.991604,10.47973
EDGS,medium_airport,50.707699,8.08297
EDHI,medium_airport,53.535278,9.835556
EDJA,large_airport,47.988092,10.238248
EDLN,medium_airport,51.230278,6.504444
EDLV,large_airport,51.601362,6.141228
EDLW,large_airport,51.518299,7.61224
EDMA,medium_airport,48.425278,10.931667
EDML,medium_airport,48.512019,12.034865
EDMO,medium_airport,48.081402,11.2831
EDNY,large_airport,47.671299,9.51149
EDQA,medium_airport,49.920403,10.914233
EDQD,medium_airport,49.985001,11.64
EDQM,medium_airport,50.288544,11.852876
EDTD,medium_airport,47.973331,8.522222
EDTM,medium_airport,48.05389,9.372778
EDTY,medium_airport,49.118332,9.783889
EDVE,medium_airport,52.319199,10.5561
EDXW,medium_airport,54.9132,8.34047
EGAB,medium_airport,54.398274,-7.651179
EGBJ,medium_airport,51.894199,-2.16722
EGBN,medium_airport,52.919998,-1.07917
EGCC,large_airport,53.349375,-2.279521
